"Date:","Sunday, July 05, 2020 at 06:24:21 PM"
"Tool:","Eeschema (5.1.6-0)"
"Generator:","/Applications/KiCad/kicad.app/Contents/SharedSupport/plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","16"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor"
"C1, ","1","0.1uF 0805","C","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","Unpolarized capacitor",""
"CON1, ","1","vectrex-edge-connector","vectrex-edge-connector","vectrex-cartridge:vectrex-edge-connector-thinner-no-soldermask","",""
"D1, ","1","ASMB-MTB0-0A3A2","ASMB-MTB0-0A3A2","vectrex-cartridge:LED_Avago_PLCC4_3.2x2.8mm_CW","Tricolor Black Surface LED, Common Anode Pin 1, PLCC-4",""
"R1, ","1","3.3k 0805","R","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","Resistor",""
"R2, R3, ","2","200 0805","R","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","Resistor",""
"R4, ","1","120 0805","R","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","Resistor",""
"SW1, ","1","SW_DIP_x03","SW_DIP_x03","Button_Switch_SMD:SW_DIP_SPSTx03_Slide_6.7x9.18mm_W8.61mm_P2.54mm_LowProfile","3x DIP Switch, Single Pole Single Throw (SPST) switch, small symbol",""
"U1, ","1","AT27C256R-70PU / AT27C512R-70PU","27C512","Package_DIP:DIP-28_W15.24mm","OTP EPROM 512 KiBit",""
"U2, ","1","DS2431+ TO-92","DS2431","vectrex-cartridge:TO-92_Inline_BW","",""
